Y,Z
0.509765625,-0.130859375
0.4659423828,-0.1226806641
0.4212646484,-0.1068115234
0.3638916016,-0.09545898437
0.3077392578,-0.07788085937
0.2783203125,-0.05895996093
0.2674560547,-0.01208496093
0.2928466797,0.05322265625
0.3492431641,0.1247558594
0.3905029297,0.1763916016
0.4067382813,0.17578125
0.4226074219,0.1647949219
0.4776611328,0.1345214844
0.5502929688,0.06579589843
0.5944824219,-0.02185058593
0.5928955078,-0.07861328125
0.5446777344,-0.07482910156
0.4713134766,-0.04479980468
0.3155517578,-0.013671875
0.2769775391,0.00305175781
0.2718505859,0.01794433593
0.2954101563,0.01843261718
0.3309326172,0.01391601562
0.3679199219,0.01611328125
0.4180908203,-0.01391601562
0.4465332031,-0.06616210937
0.4604492188,-0.09765625
0.4841308594,-0.08898925781
0.5053710938,-0.06176757812
0.4943847656,-0.01831054687
0.4805908203,0.04248046875
0.4704589844,0.09619140625
0.4193115234,0.126953125
0.2965087891,0.1262207031
0.2624511719,0.09985351562
0.2735595703,0.02600097656
0.3021240234,-0.05151367187
0.3186035156,-0.0859375
0.3551025391,-0.1180419922
0.3795166016,-0.1414794922
0.4067382813,-0.1528320313
0.4548339844,-0.1339111328
0.5477294922,-0.09204101562
0.6318359375,-0.04943847656
0.6385498047,0.01782226562
0.5935058594,0.09790039062
0.5222167969,0.1561279297
0.4483642578,0.1926269531
0.3885498047,0.2004394531
0.3509521484,0.1770019531
0.3348388672,0.1031494141
0.3127441406,0.001953125
0.2913818359,-0.09594726562
0.3120117188,-0.1884765625
0.3491210938,-0.2239990234
0.3944091797,-0.2066650391
0.4304199219,-0.1284179688
0.4692382813,-0.01489257812
0.4979248047,0.08801269531
0.4771728516,0.1608886719
0.4295654297,0.1673583984
0.3597412109,0.1419677734
0.2880859375,0.1309814453
0.2572021484,0.1340332031
0.2775878906,0.095703125
0.2655029297,0.041015625
0.2728271484,0.01342773437
0.3553466797,-0.02673339843
0.4022216797,-0.06213378906
0.4365234375,-0.06896972656
0.4825439453,-0.06127929687
0.5167236328,-0.05529785156
0.4852294922,-0.01965332031
0.4189453125,0.04370117187
0.3837890625,0.06579589843
0.3353271484,0.05102539062
0.2462158203,0.05554199218
0.2750244141,0.04260253906
0.2884521484,-0.00085449218
0.3038330078,-0.01953125
0.35546875,-0.0185546875
0.3894042969,-0.03454589843
0.4017333984,-0.04943847656
0.4434814453,-0.0576171875
0.5080566406,-0.08850097656
0.4892578125,-0.09912109375
0.4163818359,-0.06176757812
0.3782958984,-0.04956054687
0.3394775391,-0.0556640625
0.2905273438,-0.04443359375
0.2635498047,-0.02856445312
0.2794189453,-0.00427246093
0.3021240234,0.00048828125
0.3238525391,-0.00109863281
0.3671875,0.01257324218
0.4034423828,0.00134277343
0.4224853516,-0.01672363281
0.4600830078,-0.04223632812
0.5258789063,-0.08178710937
0.5515136719,-0.1214599609
0.5247802734,-0.1156005859
0.4935302734,-0.072265625
0.4541015625,-0.04602050781
0.3797607422,-0.029296875
0.3078613281,-0.02099609375
0.2694091797,-0.00903320312
0.2833251953,-0.0009765625
0.3098144531,0.00329589843
0.3168945313,0.01208496093
0.3431396484,0.00964355468
0.3775634766,0.00549316406
0.4265136719,-0.02038574218
0.4886474609,-0.06274414062
0.5362548828,-0.07263183593
0.4246826172,-0.01599121093
0.2239990234,0.07019042968
0.1439208984,0.10546875
0.1527099609,0.1351318359
0.2419433594,0.1798095703
0.5240478516,0.1618652344
0.6207275391,0.1496582031
0.6071777344,0.1519775391
0.4334716797,0.2102050781
0.353515625,0.2678222656
0.3792724609,0.2685546875
0.4118652344,0.2241210938
0.4627685547,0.1311035156
0.4848632813,0.04138183593
0.5318603516,0.00244140625
0.5462646484,-0.01452636718
0.4814453125,-0.01635742187
0.4223632813,-0.009765625
0.3671875,0.01391601562
0.3321533203,0.08264160156
0.3558349609,0.1726074219
0.4200439453,0.1763916016
0.4400634766,0.1010742188
0.4154052734,0.00610351562
0.4140625,-0.09143066406
0.4152832031,-0.1418457031
0.4290771484,-0.1586914063
0.4569091797,-0.1547851563
0.4881591797,-0.1387939453
0.4914550781,-0.09057617187
0.4520263672,0.00207519531
0.4078369141,0.05529785156
0.3455810547,0.06506347656
0.26953125,0.07202148437
0.2297363281,0.06774902343
0.2579345703,0.03674316406
0.2990722656,-0.03637695312
0.3143310547,-0.07495117187
0.3566894531,-0.08361816406
0.4125976563,-0.1036376953
0.4482421875,-0.1021728516
0.4833984375,-0.08984375
0.5102539063,-0.06945800781
0.5112304688,-0.03625488281
0.4932861328,0.02416992187
0.4571533203,0.06311035156
0.3903808594,0.06311035156
0.3162841797,0.05859375
0.2421875,0.07421875
0.2783203125,0.04772949218
0.3234863281,-0.0576171875
0.3680419922,-0.1197509766
0.4028320313,-0.1578369141
0.4395751953,-0.1381835938
0.4981689453,-0.08154296875
0.5467529297,-0.03344726562
0.5479736328,0.02844238281
0.5051269531,0.0986328125
0.4562988281,0.1019287109
0.2904052734,0.0859375
0.251953125,0.1105957031
0.2905273438,0.08129882812
0.3125,0.00708007812
0.2943115234,-0.0517578125
0.3256835938,-0.1219482422
0.3658447266,-0.1737060547
0.3952636719,-0.1750488281
0.4488525391,-0.1420898438
0.5197753906,-0.1237792969
0.5223388672,-0.087890625
0.4776611328,-0.02380371093
0.4416503906,0.0068359375
0.3709716797,0.00927734375
0.1864013672,-0.00305175781
0.171875,0.00732421875
0.2371826172,0.02111816406
0.3488769531,0.025390625
0.4190673828,0.01574707031
0.4353027344,0.00317382812
0.4484863281,0.01745605468
0.4683837891,0.03540039062
0.5096435547,-0.0078125
0.5256347656,-0.08752441406
0.4602050781,-0.1342773438
0.3745117188,-0.1527099609
0.2449951172,-0.1063232422
0.2590332031,-0.07080078125
0.3122558594,-0.03637695312
0.4514160156,0.1217041016
0.4899902344,0.1707763672
0.4854736328,0.1520996094
0.4976806641,0.1079101563
0.5731201172,0.06359863281
0.6578369141,0.01843261718
0.6774902344,-0.01232910156
0.6318359375,-0.0078125
0.5057373047,0.1015625
0.4301757813,0.1120605469
0.3441162109,0.1197509766
0.2757568359,0.1214599609
0.2489013672,0.1151123047
0.2872314453,0.05163574218
0.3211669922,-0.01586914062
0.3276367188,-0.04772949218
0.3692626953,-0.0830078125
0.4078369141,-0.09606933593
0.4874267578,-0.09216308593
