y,z,time
0.4234619141,0.1029052734,1591668374911
0.3570556641,0.1251220703,1591668375009
0.2683105469,0.1497802734,1591668375106
0.2115478516,0.1475830078,1591668375205
0.2469482422,0.08386230468,1591668375303
0.2501220703,0.0419921875,1591668375401
0.3040771484,-0.01721191406,1591668375499
0.4180908203,-0.07836914062,1591668375597
0.4814453125,-0.09155273437,1591668375696
0.4869384766,-0.0556640625,1591668375794
0.4338378906,0.01916503906,1591668375893
0.3056640625,0.1253662109,1591668375992
0.2423095703,0.1510009766,1591668376091
0.1901855469,0.1499023438,1591668376190
0.185546875,0.1334228516,1591668376289
0.2196044922,0.09851074218,1591668376388
0.3388671875,0.05151367187,1591668376488
0.4227294922,0.03479003906,1591668376587
0.4757080078,0.02807617187,1591668376687
0.5152587891,0.01281738281,1591668376786
0.4427490234,0.00634765625,1591668376887
0.3546142578,0.00732421875,1591668376986
0.2740478516,0.01733398437,1591668377086
0.2172851563,0.04919433593,1591668377187
0.3187255859,0.1925048828,1591668377287
0.3603515625,0.1773681641,1591668377388
0.357421875,0.2141113281,1591668377488
0.3891601563,0.2462158203,1591668377589
0.5434570313,0.1726074219,1591668377690
0.5985107422,0.07299804687,1591668377791
0.6104736328,0.00671386718,1591668377892
0.5115966797,-0.02185058593,1591668377993
0.4384765625,0.00024414062,1591668378095
0.3669433594,0.04565429687,1591668378196
0.2827148438,0.1154785156,1591668378297
0.2338867188,0.09838867187,1591668378399
0.2197265625,0.08435058593,1591668378501
0.2509765625,0.06298828125,1591668378603
0.3106689453,0.00341796875,1591668378705
0.4041748047,-0.01538085937,1591668378807
0.4938964844,-0.01049804687,1591668378909
0.4187011719,0.1075439453,1591668379154
0.2926025391,0.1555175781,1591668379278
0.2307128906,0.177734375,1591668379402
0.2852783203,0.07507324218,1591668379525
0.2943115234,0.02185058593,1591668379649
0.3566894531,-0.083984375,1591668379773
0.3675537109,-0.083984375,1591668379897
0.470703125,0.01037597656,1591668380022
0.4942626953,0.05126953125,1591668380146
0.4143066406,0.1494140625,1591668380270
0.2833251953,0.1871337891,1591668380395
0.2205810547,0.2066650391,1591668380520
0.2686767578,0.03723144531,1591668380645
0.3004150391,-0.01440429687,1591668380769
0.3852539063,-0.08203125,1591668380895
0.4298095703,-0.03210449218,1591668381019
0.5107421875,0.0791015625,1591668381145
0.4035644531,0.189453125,1591668381270
0.3524169922,0.1876220703,1591668381396
0.2314453125,0.2288818359,1591668381522
0.2509765625,0.1577148438,1591668381647
0.2403564453,0.0234375,1591668381773
0.2729492188,-0.04956054687,1591668381899
0.3765869141,-0.08056640625,1591668382025
0.4822998047,0.02062988281,1591668382151
0.4916992188,0.0703125,1591668382277
0.3963623047,0.1541748047,1591668382404
0.3338623047,0.1636962891,1591668382530
0.2294921875,0.2030029297,1591668382657
0.2445068359,0.1390380859,1591668382784
0.2576904297,0.00646972656,1591668382911
0.3302001953,-0.09509277343,1591668383038
0.3681640625,-0.09851074218,1591668383165
0.4710693359,-0.00415039062,1591668383292
0.4957275391,0.05004882812,1591668383419
0.4020996094,0.1574707031,1591668383547
0.2635498047,0.1890869141,1591668383675
0.2235107422,0.2099609375,1591668383802
0.275390625,0.00122070312,1591668383930
0.3129882813,-0.05139160156,1591668384058
0.3487548828,-0.1160888672,1591668384186
0.4410400391,-0.03332519531,1591668384314
0.4577636719,0.02404785156,1591668384442
0.392578125,0.1120605469,1591668384571
0.3314208984,0.1158447266,1591668384699
0.197265625,0.1575927734,1591668384828
0.2957763672,0.05334472656,1591668384957
0.2839355469,-0.00012207031,1591668385086
0.3271484375,-0.07177734375,1591668385215
0.3479003906,-0.064453125,1591668385344
0.4461669922,0.01708984375,1591668385474
0.4449462891,0.07165527343,1591668385603
0.3826904297,0.06555175781,1591668385732
0.2147216797,0.09692382812,1591668385862
0.2305908203,0.1259765625,1591668385992
0.2686767578,0.08471679687,1591668386121
0.31640625,-0.02270507812,1591668386251
0.3618164063,-0.07678222656,1591668386381
0.4106445313,-0.02307128906,1591668386511
0.4658203125,-0.01611328125,1591668386642
0.3959960938,0.02416992187,1591668386772
0.3061523438,0.06140136718,1591668386903
0.2091064453,0.1080322266,1591668387034
0.2044677734,0.1385498047,1591668387164
0.2888183594,0.05346679687,1591668387295
0.37109375,0.01623535156,1591668387426
0.4588623047,-0.01721191406,1591668387557
0.4362792969,-0.03051757812,1591668387688
0.396484375,-0.02612304687,1591668387819
0.2741699219,-0.00537109375,1591668387951
0.1802978516,0.07312011718,1591668388083
0.2196044922,0.08923339843,1591668388214
0.3461914063,0.1667480469,1591668388346
0.3981933594,0.12890625,1591668388478
0.4069824219,0.1008300781,1591668388610
0.4273681641,0.01928710937,1591668388742
0.4332275391,-0.04919433593,1591668388875
0.3197021484,-0.00610351562,1591668389150
0.2193603516,0.037109375,1591668389303
0.2082519531,0.1118164063,1591668389457
0.2836914063,0.1413574219,1591668389611
